Case,SA?,RB?,Period,Fleet Size,Capacity,Dmd Rate,Service Rate,reqs served,of total reqs,wait time,inveh time,service dist,service time,service pct,rebl dist,rebl time,rebl pct,
BAL5,no,sar,10800,20,4,100,100,295,295,153.2360698,422.8613508,40479.7315,6746.621917,62.46872146,17338.13642,2889.689403,26.75638336,
BAL5,no,sar,10800,20,4,100,100,316,316,151.7435218,398.3124291,43073.88151,7178.980252,66.47203937,14679.41685,2446.569474,22.65342106,
BAL5,no,sar,10800,20,4,100,100,278,278,155.9144278,410.9408726,38585.1754,6430.862567,59.54502376,19256.0151,3209.335849,29.71607268,
BAL5,no,sar,10800,20,4,100,100,295,295,148.6227641,411.9001084,38383.27126,6397.211877,59.2334433,19285.09137,3214.181895,29.76094347,
BAL5,no,sar,10800,20,4,100,100,268,268,147.4103245,400.5712245,35927.28202,5987.880336,55.44333645,20864.39553,3477.399255,32.19814125,
BAL5,no,sar,10800,20,4,100,100,305,305,158.0712332,403.5377568,42966.18527,7161.030878,66.30584147,15389.93841,2564.989735,23.74990495,
BAL5,no,sar,10800,20,4,100,100,302,302,152.527838,415.834222,41983.81255,6997.302092,64.78983418,15668.69591,2611.449319,24.18008629,
BAL5,no,sar,10800,20,4,100,100,298,298,157.7862205,421.7282043,42603.29488,7100.549146,65.74582543,15681.09663,2613.516105,24.1992232,
BAL5,no,sar,10800,20,4,100,100,285,285,162.6728495,438.9224132,40891.17128,6815.195213,63.10365938,16641.47185,2773.578642,25.68128372,
BAL5,no,sar,10800,20,4,100,100,292,292,161.3849949,408.3266466,39749.26255,6624.877092,61.34145456,17181.1706,2863.528433,26.51415216,
BAL5,no,sar,10800,20,4,100,100,310,310,164.1517282,443.3565666,44739.03548,7456.505914,69.04172142,14048.89843,2341.483072,21.68039881,
BAL5,no,sar,10800,20,4,100,100,309,309,153.7742141,410.6830042,43245.52331,7207.587218,66.73691868,14528.20141,2421.366901,22.4200639,
BAL5,no,sar,10800,20,4,100,100,294,294,173.5585259,410.9051848,41236.92492,6872.820819,63.63722981,16634.50561,2772.417602,25.67053336,
BAL5,no,sar,10800,20,4,100,100,298,298,160.7882509,433.2551668,40974.67017,6829.111695,63.2325157,16982.03383,2830.338971,26.20684233,
BAL5,no,sar,10800,20,4,100,100,307,307,162.4284321,422.5186512,42096.1956,7016.032601,64.96326482,15930.52287,2655.087146,24.58414024,
BAL5,no,sar,10800,20,4,100,100,293,293,151.1155976,425.3587272,39148.47896,6524.746493,60.41431938,17700.8109,2950.135149,27.3160662,
